x,y,label,fname
-0.078514876042148241,0.1272457128014497,ACCESS1-0,    ACCESS1-0_0.cvdp_data.1900-2005.nc
-0.045926422036473541,0.12623096322843982,ACCESS1-3,    ACCESS1-3_0.cvdp_data.1900-2005.nc
0.16515833833053464,-0.067020335603843476,bcc-csm1-1-m, bcc-csm1-1-m_0.cvdp_data.1900-2005.nc
0.056052175431278856,-0.10374642273174102,bcc-csm1-1,   bcc-csm1-1_0.cvdp_data.1900-2005.nc
0.043629553994387109,-0.13140131614912182,BNU-ESM,      BNU-ESM_0.cvdp_data.1900-2005.nc
-0.045421519934613408,0.040244301948829886,CanESM2,      CanESM2_0.cvdp_data.1900-2005.nc
0.20098093845738232,-0.030352691049246049,CCSM4,        CCSM4_0.cvdp_data.1900-2005.nc
0.20008810116781034,-0.029634116111239645,CESM1-BGC,    CESM1-BGC_0.cvdp_data.1900-2005.nc
0.083376159991010404,0.091075924223340363,CESM1-CAM5-1-FV2, CESM1-CAM5-1-FV2_0.cvdp_data.1900-2005.nc
0.080767559535909847,0.059188138587569043,CESM1-CAM5,   CESM1-CAM5_0.cvdp_data.1900-2005.nc
0.20532270920941045,-0.028559882868839585,CESM1-FASTCHEM, CESM1-FASTCHEM_0.cvdp_data.1900-2005.nc
0.13482955738898478,0.17631988504075805,CESM1-WACCM,  CESM1-WACCM_0.cvdp_data.1900-2005.nc
0.010604134946143158,-0.011757418198169738,CMCC-CM,      CMCC-CM_0.cvdp_data.1900-2005.nc
-0.037106027047607279,-0.035054882996050002,CMCC-CMS,     CMCC-CMS_0.cvdp_data.1900-2005.nc
-0.013633175361584286,-0.011019907488446347,CNRM-CM5,     CNRM-CM5_0.cvdp_data.1900-2005.nc
-0.21854527243697378,0.13303615081082928,CSIRO-Mk3-6-0, CSIRO-Mk3-6-0_0.cvdp_data.1900-2005.nc
-0.222160704944981,-0.098243827048166255,FGOALS-g2,    FGOALS-g2_0.cvdp_data.1900-2005.nc
-4.2113926211654038e-06,-0.1435012760921939,FIO-ESM,      FIO-ESM_0.cvdp_data.1900-2005.nc
0.0040510848330927553,0.068046668895811138,GFDL-CM2p1,   GFDL-CM2p1_0.cvdp_data.1900-2005.nc
0.0034599222987535551,0.078602380373401032,GFDL-ESM2G,   GFDL-ESM2G_0.cvdp_data.1900-2005.nc
-0.013405447093484322,0.057594892235778489,GFDL-ESM2M,   GFDL-ESM2M_0.cvdp_data.1900-2005.nc
-0.13280323996154642,-0.010607766955719014,GISS-E2-H,    GISS-E2-H_0.cvdp_data.1900-2005.nc
-0.12307847945270727,0.0040403088294644045,GISS-E2-H-CC, GISS-E2-H-CC_0.cvdp_data.1900-2005.nc
-0.11233423235668587,-0.014113206583445481,GISS-E2-R,    GISS-E2-R_0.cvdp_data.1900-2005.nc
-0.10821084809002568,-0.013859445817841605,GISS-E2-R-CC, GISS-E2-R-CC_0.cvdp_data.1900-2005.nc
-0.14643055231774518,0.18839695472961565,HadCM3,       HadCM3_0.cvdp_data.1900-2005.nc
-0.067781807776484293,0.13883804813777945,HadGEM2-AO,   HadGEM2-AO_0.cvdp_data.1900-2005.nc
-0.096669659920998713,0.12939797155690896,HadGEM2-CC,   HadGEM2-CC_0.cvdp_data.1900-2004.nc
-0.07646188902863793,0.13718788913971158,HadGEM2-ES,   HadGEM2-ES_0.cvdp_data.1900-2004.nc
0.085595846646824167,0.024288172949936793,inmcm4,       inmcm4_0.cvdp_data.1900-2005.nc
-0.10260022436320605,-0.22064796991149441,IPSL-CM5A-LR, IPSL-CM5A-LR_0.cvdp_data.1900-2005.nc
0.012743685645294567,-0.20090007389066383,IPSL-CM5A-MR, IPSL-CM5A-MR_0.cvdp_data.1900-2005.nc
-0.20450920895145291,-0.22230023283241546,IPSL-CM5B-LR, IPSL-CM5B-LR_0.cvdp_data.1900-2005.nc
-0.013082393109926161,0.18290385942918966,MIROC5,       MIROC5_0.cvdp_data.1900-2005.nc
-0.012717497614829975,-0.21971842526881405,MIROC-ESM,    MIROC-ESM_0.cvdp_data.1900-2005.nc
-0.020308866134618176,-0.21134285980191742,MIROC-ESM-CHEM, MIROC-ESM-CHEM_0.cvdp_data.1900-2005.nc
0.021660947480262729,0.020162306407338758,MPI-ESM-LR,   MPI-ESM-LR_0.cvdp_data.1900-2005.nc
0.093135200071572902,-0.051905141297774605,MRI-CGCM3,    MRI-CGCM3_0.cvdp_data.1900-2005.nc
0.093866446565745651,-0.055373063342994168,MRI-ESM1,     MRI-ESM1_0.cvdp_data.1900-2005.nc
0.15666048157605258,-0.011666503096700101,NorESM1-M,    NorESM1-M_0.cvdp_data.1900-2005.nc
0.1753412580952666,-0.0011632344650698372,NorESM1-ME,   NorESM1-ME_0.cvdp_data.1900-2005.nc
0.064382453703634171,0.14108947027575569,Observation,  20thC_ReanV2.cvdp_data.1901-2010.nc
